'Is the device for xbcd driver software connected?'			'0 - Steps'			None
'Is the device for xbcd driver software connected?'			'1 - Look for the connector.\nLook for the connector. It should be attached at the end of your Xbox dongle. Proceed by cutting it off. Do this very carefully. You don’t want to ruin your controller. (By the way, if you need to replace or put back the connector and make it Xbox dongle compatible, buy a new one. It can cost around $4.)\n- ;'			None
'Is the device for xbcd driver software connected?'			'2 - Once you have cut the connector, four wires are going to be exposed.\nOnce you have cut the connector, four wires are going to be exposed. They are compatible to a USB format (direct connectivity). Prepare to further expose the wires and then, match them up to the wires in your PC gamepad. Refer to the color codes of the wires to get the proper matching.'			None
'Is the device for xbcd driver software connected?'			'3 - Get four pieces of tubing (shrink wrap).\nGet four pieces of tubing (shrink wrap). Slip one piece in every wire matching. Then, solder each piece so that the wires are successfully connected. Double check what you have done. See to it that the wires don’t separate when you pull them. Otherwise, solder again until the connection is firmer or stronger.'			None
'Is the device for xbcd driver software connected?'			'4 - Bring out an electrical tape.\nBring out an electrical tape. Use it to protect your new connections. Cover the wires that you have just soldered. Roll the tape around the wires. Do this evenly and tightly. This can make your control less intermittent and allow you to enjoy your game better. So, if the tape wrapping is lousy, you may need to redo everything.'			None
'Is the device for xbcd driver software connected?'			'5 - Go to your PC and then get your xbcd driver software.\nGo to your PC and then get your xbcd driver software. Install the software in your PC. After that, set to connect your controller. If you have done everything accurately, Windows should be able to automatically recognize your controller as an acceptable USB device.'			None
'Is the device for xbcd driver software connected?'			'6 - Finished.\nFinished.'			None
'Is the device for driver connected?'			'0 - Connecting Wirelessly'			None
'Is the device for driver connected?'			"1 - Flip the switch located on the back of the controller to PC Bluetooth mode (if available).\nFlip the switch located on the back of the controller to PC Bluetooth mode (if available). The switch has a blue background (on the Razer Raiju Ultimate) and is located in the center of the back of the controller.\n- Depending on the model of the Razer controller you have, the switch might be located somewhere else. You'll need to refer to the Razer's instruction manual for more details. Your Razer controller might not have a Bluetooth function and may only be able to connect with a USB cable.\n- If this is your first time using the Razer controller or its charge is low, you'll most likely want to make a wired connection. If the lights on your controller are red, the charge is low.\n- ;"			None
'Is the device for driver connected?'			"2 - Tap the PS button to turn the controller on.\nTap the PS button to turn the controller on. The controller should light up to show you that it's turned on."			None
'Is the device for driver connected?'			"3 - Press and hold the PS and Options buttons for at least 5 seconds.\nPress and hold the PS and Options buttons for at least 5 seconds. When the status light changes from slow to rapid blinking, your controller is in pairing mode and you can release the buttons you're holding down."			None
'Is the device for driver connected?'			"4 - Go to Settings on your computer.\nGo to Settings on your computer. You'll find the gear icon for Settings in the Start Menu (you can either click the Start Menu icon in your taskbar or you can press ⊞ Win)."			None
'Is the device for driver connected?'			"5 - Click Devices.\nClick Devices. You'll see this as the first option in the second column."			None
'Is the device for driver connected?'			"6 - Click Add Bluetooth or other devices.\nClick Add Bluetooth or other devices. You'll see this on the right side of the window; it's the first clickable option. You'll see discoverable devices appear in the list as your computer scans."			None
'Is the device for driver connected?'			"7 - Click the Razer controller to pair it.\nClick the Razer controller to pair it. If you don't see it in the list, you might need to turn off the Razer controller and put it into pairing mode again."			None
'Is the device for driver connected?'			"8 - Click Done.\nClick Done. A confirmation window will display that you've successfully connected to the Razer controller.[1]\n- X\n- Research source"			None
'Is the device for driver connected?'			"9 - Install the appropriate drivers.\nInstall the appropriate drivers. You should be automatically prompted to install drivers to use the Razer controller. If you aren't prompted, you can manually get the drivers from the Razer support site."			None
'Is the device for razer hydra driver connected?'			'0 - Installing the Hydra'			None
'Is the device for razer hydra driver connected?'			'1 - Open the box.\nOpen the box. Check if all the important accessories are inside. The Razer Hydra package typically includes:\n- Two motion-sensing controllers\n- A base station\n- A USB cable\n- A Quick Start Guide\n- ;'			None
'Is the device for razer hydra driver connected?'			'2 - Connect the controller to its base station.\nConnect the controller to its base station. Take the cable coming from the controller and plug it in to the dedicated port on the base station. There are two ports on the base station; the controller should be connected to the right-hand port.'			None
'Is the device for razer hydra driver connected?'			'3 - Plug the base station to your computer.\nPlug the base station to your computer. Take the USB cable and plug the smaller end into the left-hand port on the base station. Take the other end of the USB cable and connect it to any available USB port on your computer.'			None
'Is the device for razer hydra driver connected?'			'4 - Download the Razer Hydra driver installer.\nDownload the Razer Hydra driver installer. Open a web browser on your computer and download the Razer Hydra driver installer here:\n- http://www.razersupport.com/gaming-controllers/razer-hydra/.'			None
'Is the device for razer hydra driver connected?'			'5 - Install the driver.\nInstall the driver. Once the download has finished, double-click on the downloaded file to start installing the driver then wait for it to finish installing.\n- A pop-up message will appear on the bottom-right corner of your computer screen notifying you that the Razer Hydra has been detected by your PC.'			None
'Is the device for driver connected?'			'0 - Installing the Hydra'			None
'Is the device for driver connected?'			'1 - Open the box.\nOpen the box. Check if all the important accessories are inside. The Razer Hydra package typically includes:\n- Two motion-sensing controllers\n- A base station\n- A USB cable\n- A Quick Start Guide\n- ;'			None
'Is the device for driver connected?'			'2 - Connect the controller to its base station.\nConnect the controller to its base station. Take the cable coming from the controller and plug it in to the dedicated port on the base station. There are two ports on the base station; the controller should be connected to the right-hand port.'			None
'Is the device for driver connected?'			'3 - Plug the base station to your computer.\nPlug the base station to your computer. Take the USB cable and plug the smaller end into the left-hand port on the base station. Take the other end of the USB cable and connect it to any available USB port on your computer.'			None
'Is the device for driver connected?'			'4 - Download the Razer Hydra driver installer.\nDownload the Razer Hydra driver installer. Open a web browser on your computer and download the Razer Hydra driver installer here:\n- http://www.razersupport.com/gaming-controllers/razer-hydra/.'			None
'Is the device for driver connected?'			'5 - Install the driver.\nInstall the driver. Once the download has finished, double-click on the downloaded file to start installing the driver then wait for it to finish installing.\n- A pop-up message will appear on the bottom-right corner of your computer screen notifying you that the Razer Hydra has been detected by your PC.'			None
'Is the device for driver connected?'			'0 - On Windows'			None
'Is the device for driver connected?'			'1 - Open Start and type in device manager.\nOpen Start and type in device manager. This will search your computer for the "Device Manager" program, which allows you to reset hardware on your computer.\n- If your keyboard won\'t let you type correctly, scroll down to the Windows System folder and click it, click Control Panel, click the "View by" option and then select Large Icons if you\'re in Category view, and find Device Manager.\n- ;'			None
'Is the device for driver connected?'			"2 - Click  Device Manager.\nClick  Device Manager. It's at the top of the Start window."			None
'Is the device for driver connected?'			'3 - Scroll down and expand Keyboard.\nScroll down and expand Keyboard. Click the  icon to the left of the Keyboard heading. A drop-down list of your currently connected keyboards will appear.'			None
'Is the device for driver connected?'			"4 - Select the keyboard that you want to reset.\nSelect the keyboard that you want to reset. Click on a keyboard's name to select it.\n- If you're trying to reset an external keyboard (e.g., a wireless one), you can select it here."			None
'Is the device for driver connected?'			'5 - Click the "Uninstall" icon.\nClick the "Uninstall" icon. This icon resembles a red "X" at the top of the window.'			None
'Is the device for driver connected?'			'6 - Click OK when prompted.\nClick OK when prompted. Doing so removes the keyboard from the Device Manager.'			None
'Is the device for driver connected?'			'7 - Click the "Search for updates" button.\nClick the "Search for updates" button. It resembles a computer monitor in the upper-right side of the Device Manager window. Clicking this will prompt the keyboard to reappear in Device Manager.'			None
'Is the device for driver connected?'			"8 - Select the keyboard again.\nSelect the keyboard again. Click the keyboard's name."			None
'Is the device for driver connected?'			'9 - Click the "Update drivers" button.\nClick the "Update drivers" button. This option is at the top of the window, and resembles a black box with a green arrow facing upward.'			None
