0####-####step	0,0,0	0,0,0	None
1####-####connect####you####ps4####controller####to####you####computer####.####connect####you####ps4####controller####to####you####computer####.####use####a####usb####to####micro####-####usb####cable####,####connect####you####controller####to####a####usb####port####on####you####computer####.####you####can####usually####find####these####port####on####the####front####or####back####of####you####computer####tower####,####on####the####back####of####you####monitor####(####if####you####be####use####a####all####-####in####-####one####)####,####and####along####the####side####of####laptop####.####the####micro####-####usb####cable####plug####in####at####the####top####of####you####ps4####controller####.####-####;	0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0	True
2####-####right####-####click####the####start####logo####.####right####-####click####the####start####logo####.####you####will####see####this####logo####in####the####bottom####leave####corner####of####you####screen####if####you####have####not####move####the####location####of####the####taskbar####.####-####a####menu####will####pop####up####from####you####mouse####.	0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
3####-####type####"####control####panel####.####type####"####control####panel####.####"####as####you####type####,####the####search####window####will####show####you####result####.	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
4####-####click####control####panel####to####launch####the####app.####click####control####panel####to####launch####the####app####.####you####should####see####this####list####as####a####app####under####"####best####result####.####"####-####if####you####do####not####see####it####here####,####you####can####open####the####run####dialog####(####⊞####win+r####,####enter####"####control####panel####"####and####press####'s####enter####.	0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
5####-####click####view####device####and####printer####.####click####view####device####and####printer####.####you####will####see####this####under####the####header####,####"####hardware####and####sound####.####"####-####you####will####see####a####list####of####all####you####connect####device####.	0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
6####-####right####-####click####wireless####controller####.####right####-####click####wireless####controller####.####you####will####see####this####with####the####picture####of####a####controller####that####closely####resemble####you####ps4####.	0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0	0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	None
7####-####click####game####controller####setting####.####click####game####controller####setting####.####this####be####usually####the####first####list####in####the####drop####-####down####menu####.####-####another####window####should####pop####up####.	0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0	0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
8####-####click####property####.####click####property####.####you####will####see####this####in####the####lower####right####corner####of####the####window####that####pop####-####up####.	0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
9####-####press####the####button####on####you####controller####to####see####they####reaction####on####the####computer####screen####.####press####the####button####on####you####controller####to####see####they####reaction####on####the####computer####screen####.####you####will####see####a####bar####that####slide####to####show####how####hard####you####be####press####the####button####on####you####remote####.####-####for####example####,####the####graph####on####you####computer####screen####should####tell####you####how####hard####you####be####press####the####trigger####button####on####you####controller####.####[####1####]####-####x####-####research####source	0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0	None
0####-####step	0,0,0	0,0,0	None
