0####-####step	0,0,0	0,0,0	None
1####-####look####for####the####connector####.####look####for####the####connector####.####it####should####be####attach####at####the####end####of####you####xbox####dongle####.####proceed####by####cut####it####off####.####do####this####very####carefully####.####you####do####not####want####to####ruin####you####controller####.####(####by####the####way####,####if####you####need####to####replace####or####put####back####the####connector####and####make####it####xbox####dongle####compatible####,####buy####a####new####one####.####it####can####cost####around####$####4####.####)####-####;	0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
2####-####once####you####have####cut####the####connector####,####four####wire####be####go####to####be####expose####.####once####you####have####cut####the####connector####,####four####wire####be####go####to####be####expose####.####they####be####compatible####to####a####usb####format####(####direct####connectivity####)####.####prepare####to####further####expose####the####wire####and####then####,####match####they####up####to####the####wire####in####you####pc####gamepad####.####refer####to####the####color####code####of####the####wire####to####get####the####proper####matching####.	0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
3####-####get####four####piece####of####tubing####(####shrink####wrap####)####.####get####four####piece####of####tubing####(####shrink####wrap####)####.####slip####one####piece####in####every####wire####matching####.####then####,####solder####each####piece####so####that####the####wire####be####successfully####connect####.####double####check####what####you####have####do####.####see####to####it####that####the####wire####do####not####separate####when####you####pull####they####.####otherwise####,####solder####again####until####the####connection####be####firmer####or####stronger####.	0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
4####-####bring####out####a####electrical####tape####.####bring####out####a####electrical####tape####.####use####it####to####protect####you####new####connection####.####cover####the####wire####that####you####have####just####solder####.####roll####the####tape####around####the####wire####.####do####this####evenly####and####tightly####.####this####can####make####you####control####less####intermittent####and####allow####you####to####enjoy####you####game####better####.####so####,####if####the####tape####wrapping####be####lousy####,####you####may####need####to####redo####everything####.	0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
5####-####go####to####you####pc####and####then####get####you####xbcd####driver####software####.####go####to####you####pc####and####then####get####you####xbcd####driver####software####.####install####the####software####in####you####pc####.####after####that####,####set####to####connect####you####controller####.####if####you####have####do####everything####accurately####,####window####should####be####able####to####automatically####recognize####you####controller####as####a####acceptable####usb####device####.	0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
6####-####finish####.####finish####.	0,0,1,0,1,0	0,0,0,0,0,0	None
0####-####connecting####wirelessly	0,0,0,0	0,0,0,0	None
1####-####flip####the####switch####locate####on####the####back####of####the####controller####to####pc####bluetooth####mode####(####if####available####)####.####flip####the####switch####locate####on####the####back####of####the####controller####to####pc####bluetooth####mode####(####if####available####)####.####the####switch####have####a####blue####background####(####on####the####razer####raiju####ultimate####)####and####be####locate####in####the####center####of####the####back####of####the####controller####.####-####depend####on####the####model####of####the####razer####controller####you####have####,####the####switch####might####be####locate####somewhere####else####.####you####will####need####to####refer####to####the####razer####'s####instruction####manual####for####more####detail####.####you####razer####controller####might####not####have####a####bluetooth####function####and####may####only####be####able####to####connect####with####a####usb####cable####.####-####if####this####be####you####first####time####use####the####razer####controller####or####its####charge####be####low####,####you####will####most####likely####want####to####make####a####wire####connection####.####if####the####light####on####you####controller####be####red####,####the####charge####be####low####.####-####;	0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
2####-####tap####the####ps####button####to####turn####the####controller####on####.####tap####the####ps####button####to####turn####the####controller####on####.####the####controller####should####light####up####to####show####you####that####it####be####turn####on####.	0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
3####-####press####and####hold####the####ps####and####option####button####for####at####least####5####seconds####.####press####and####hold####the####ps####and####option####button####for####at####least####5####seconds####.####when####the####status####light####change####from####slow####to####rapid####blinking####,####you####controller####be####in####pair####mode####and####you####can####release####the####button####you####be####hold####down####.	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
