'Is controller powered on?'			'0 - Connecting Wirelessly'			None
'Is controller powered on?'			"1 - Turn on your Xbox One console.\nTurn on your Xbox One console. You'll see the power button on the right side of the unit if you have it positioned horizontally.\n- ;"			None
'Is controller powered on?'			'2 - Insert batteries into your controller.\nInsert batteries into your controller. Some models of the Xbox remote, like the Xbox Elite Wireless Controller Series 2 and the Xbox Adaptive Controller have built-in batteries and come with a USB-C cable for charging. Other models of Xbox controllers require AA batteries or rechargeable batteries to work.[1]\n- X\n- Research source\n- \n- You can get an Xbox One Play & Charge Kit that comes with a rechargeable battery and charging cable.[2]\n- X\n- Research source'			None
'Is controller powered on?'			"3 - Press and hold the Xbox button on your controller.\nPress and hold the Xbox button on your controller. This is the large circular button centered in your controller with the Xbox logo.\n- The button should flash to indicate that it's unpaired and looking for something to connect with.\n- You can release the Xbox button on your controller when the button is flashing."			True
'Is controller powered on?'			"4 - Press the bind button on the console.\nPress the bind button on the console. If your Xbox One X or Xbox One S is horizontally positioned, you'll see this button on the right side of the unit's face, below the power button.\n- If you have an original Xbox One, the bind button is a circular button on the side, around the edge of the unit from the disc tray."			None
'Is controller powered on?'			"5 - Press and hold the controller's bind/sync button.\nPress and hold the controller's bind/sync button. This is the circular button on top of the controller (not the Xbox button).\n- Release this button when you see the Xbox button flash a few more times.\n- When the Xbox button remains lit, your controller is connected to your console.[3]\n- X\n- Research source"			None
'Is controller powered on?'			'0 - Connecting Wirelessly'			None
'Is controller powered on?'			"1 - Flip the switch located on the back of the controller to PC Bluetooth mode (if available).\nFlip the switch located on the back of the controller to PC Bluetooth mode (if available). The switch has a blue background (on the Razer Raiju Ultimate) and is located in the center of the back of the controller.\n- Depending on the model of the Razer controller you have, the switch might be located somewhere else. You'll need to refer to the Razer's instruction manual for more details. Your Razer controller might not have a Bluetooth function and may only be able to connect with a USB cable.\n- If this is your first time using the Razer controller or its charge is low, you'll most likely want to make a wired connection. If the lights on your controller are red, the charge is low.\n- ;"			None
'Is controller powered on?'			"2 - Tap the PS button to turn the controller on.\nTap the PS button to turn the controller on. The controller should light up to show you that it's turned on."			True
'Is controller powered on?'			"3 - Press and hold the PS and Options buttons for at least 5 seconds.\nPress and hold the PS and Options buttons for at least 5 seconds. When the status light changes from slow to rapid blinking, your controller is in pairing mode and you can release the buttons you're holding down."			None
'Is controller powered on?'			"4 - Go to Settings on your computer.\nGo to Settings on your computer. You'll find the gear icon for Settings in the Start Menu (you can either click the Start Menu icon in your taskbar or you can press ⊞ Win)."			None
'Is controller powered on?'			"5 - Click Devices.\nClick Devices. You'll see this as the first option in the second column."			None
'Is controller powered on?'			"6 - Click Add Bluetooth or other devices.\nClick Add Bluetooth or other devices. You'll see this on the right side of the window; it's the first clickable option. You'll see discoverable devices appear in the list as your computer scans."			None
'Is controller powered on?'			"7 - Click the Razer controller to pair it.\nClick the Razer controller to pair it. If you don't see it in the list, you might need to turn off the Razer controller and put it into pairing mode again."			False
'Is controller powered on?'			"8 - Click Done.\nClick Done. A confirmation window will display that you've successfully connected to the Razer controller.[1]\n- X\n- Research source"			None
'Is controller powered on?'			"9 - Install the appropriate drivers.\nInstall the appropriate drivers. You should be automatically prompted to install drivers to use the Razer controller. If you aren't prompted, you can manually get the drivers from the Razer support site."			None
'Is hydra powered on?'			'0 - Using the Hydra'			None
'Is hydra powered on?'			'1 - Use the 1, 2, 3, and 4 buttons.\nUse the 1, 2, 3, and 4 buttons. These buttons are located on the face of each of the two controllers. These buttons are given numerical values for compatibility purposes, and the functions will depend on the game you’re playing.\n- The numerical buttons on the left-hand controller are usually used as directional keys while the buttons on the right are used as action keys.'			True
'Is hydra powered on?'			'2 - Use the 5 button.\nUse the 5 button. This button can be found on both controllers and is placed in between the numerical buttons 1, 2, 3, and 4. The 5 button usually works as the “Select” or “Start” button, or a way to access the game menu.'			None
'Is hydra powered on?'			'3 - Use the analog sticks.\nUse the analog sticks. The analog sticks are located right at the middle and can be found on both controllers. The analog sticks are used as substitute to the 1 to 4 buttons, but its functions may still depend on the kind of game you’re playing.'			None
'Is hydra powered on?'			'4 - Use the “Bumper” and “Trigger” buttons.\nUse the “Bumper” and “Trigger” buttons. These buttons can be found on the front side of the controllers, and just like the keys mentioned above, its functions will depend the on the game you’re playing.'			None
'Is hydra powered on?'			'5 - Use the motion-sense feature.\nUse the motion-sense feature. At the lower part of the base station you’ll see a Razer logo. To properly use the motion-sense feature of the controller, the logo should be facing you. The logo must be in line right between the two controllers.\n- This serves as a basic rule of thumb to properly align the base station, accurately using the motion sensing controllers.'			None
'Is keyboard powered on?'			'0 - Using Windows 7'			None
'Is keyboard powered on?'			'1 - Check the NumLock and Fn+NumLock keys.\nCheck the NumLock and Fn+NumLock keys. Many laptops will convert a good chunk of the keyboard into a number pad if NumLock is enabled. Press "NumLock" or press "FN" + "NumLock" keys to make sure that it is disabled. Try typing again to see if your keys are fixed.  If this doesn\'t fix your problem, you may have the wrong language selected.'			True
'Is keyboard powered on?'			'2 - Switch between your installed keyboards.\nSwitch between your installed keyboards. If you have multiple keyboards installed that you want to switch between, there are a couple of ways that you can do it:\n- Click the icon that resembles a keyboard in the taskbar in the lower-right corner. This can be found next to the System Tray. If you don\'t see it, right-click the taskbar and select "Toolbars" → "Language bar."\n- Press and hold the Windows button and press the Spacebar to cycle between your installed languages.'			None
'Is keyboard powered on?'			"3 - Click the Windows Start menu .\nClick the Windows Start menu .  It's the button with the Windows logo.  It's in the lower-right corner by default."			None
'Is keyboard powered on?'			"4 - Click Control Panel.\nClick Control Panel.  It's to the left in the Start menu.  This launches the Control Panel. You can use the Control Panel to remove keyboards you don't use or install ones that you need."			None
'Is keyboard powered on?'			'5 - Click Change keyboards or other input methods.\nClick Change keyboards or other input methods.  It\'s below "Clock, Language & Region" in the Control Panel.  It\'s next to an icon that resembles a clock and a globe.'			None
'Is keyboard powered on?'			'6 - Click the Keyboards and Languages tab.\nClick the Keyboards and Languages tab. It\'s at the top of the "Region and Languages" window.  This will open your keyboard options.'			None
'Is keyboard powered on?'			"7 - Click Change keyboards.\nClick Change keyboards.  It's near the top of the menu. This will open a list of your installed keyboards in a new window."			None
'Is keyboard powered on?'			'8 - Click the Add button.\nClick the Add button.. If your preferred input language isn\'t listed, clicking the "Add" will allow you to browse through all of the available input languages.'			None
'Is keyboard powered on?'			'9 - Click your preferred language and check your preferred keyboard layout.\nClick your preferred language and check your preferred keyboard layout.  Click your language in the list of languages to display a list of available regions and keyboard layouts.  Click the checkbox next to your preferred keyboard layout.'			None
'Is keyboard powered on?'			'10 - Click Ok.\nClick Ok.  This adds your preferred language and layout method.'			None
'Is keyboard powered on?'			'11 - Select the preferred keyboard layout.\nSelect the preferred keyboard layout.  Use the drop-down menu below "Default input language" to select your preferred language and keyboard input.[5]\n- X\n- Research source\n- \n- \n- Additionally, you can click any languages and keyboard methods you don\'t use in the "Installed services" list and click Remove to the right to uninstall those languages and keyboard inputs.\n- Click your preferred keyboard input in the list before "Installed Services" and click Move Up until your preferred list is at the top of the list.'			None
'Is keyboard powered on?'			'12 - Click Apply.\nClick Apply.  This applies your language and keyboard settings.  You can change between your preferred keyboard inputs by clicking the keyboard icon in the system tray at the bottom of the screen (See Step 2.).'			None
'Is screen powered on?'			'0 - On Mac'			None
'Is screen powered on?'			'1 - Open the Apple menu .\nOpen the Apple menu . Click the Apple logo in the top-left corner of the screen. A drop-down menu will appear.'			True
'Is screen powered on?'			"2 - Click System Preferences.\nClick System Preferences. It's near the top of the drop-down menu."			None
'Is screen powered on?'			'3 - Click Keyboard.\nClick Keyboard. This keyboard-shaped icon is near the bottom of the System Preferences window.'			None
'Is screen powered on?'			"4 - Click the Keyboard tab.\nClick the Keyboard tab. It's in the top-left corner of the window."			None
'Is screen powered on?'			'5 - Click Modifier Keys….\nClick Modifier Keys…. This option is in the lower-right side of the window.'			None
'Is screen powered on?'			"6 - Click Restore Defaults and click OK.\nClick Restore Defaults and click OK. It's in the bottom-left corner of the window. Doing so will wipe any preferences for your Mac's modifier keys (e.g., ⌘ Command)."			None
'Is screen powered on?'			'7 - Click the Text tab.\nClick the Text tab. This tab is at the top of the window.'			None
'Is screen powered on?'			'8 - Select a keyboard shortcut that you want to remove.\nSelect a keyboard shortcut that you want to remove. Click the keyboard shortcut on the left side of the window.'			None
'Is screen powered on?'			"9 - Click -.\nClick -. It's below the list of shortcuts. Doing so removes the shortcut."			None
'Is screen powered on?'			'10 - Click the Shortcuts tab.\nClick the Shortcuts tab. This tab is at the top of the window.'			None
'Is screen powered on?'			"11 - Click Restore Defaults.\nClick Restore Defaults. It's in the bottom-right corner of the window. Doing so resets your text shortcuts to the default settings."			None
'Is screen powered on?'			"12 - Restart your Mac.\nRestart your Mac. Open the Apple menu, click Restart..., and click Restart when prompted. Your Mac's keyboard should be back to normal once your Mac finishes restarting."			None
'Is keyboard powered on?'			'0 - Cleaning a Liquid Spill'			None
'Is keyboard powered on?'			"1 - Turn off the power to your laptop and remove the battery immediately.\nTurn off the power to your laptop and remove the battery immediately. Disconnect the power cord right away and hold down the power button until your laptop goes off. If liquid touches the electrical components inside of your computer, it can be permanently damaged. By working quickly, you’ll help minimize the risk of electrical damage.[11]\n- X\n- Research source\n- \n- \n- If the laptop starts to smoke or steam, or you see bubbling or bulging, don't touch it. You could be seriously burned or suffer an electrical shock.[12]\n- X\n- Research source\n- \n- \n- Even if you get the laptop dry, residue from sugary, acidic, or alcoholic drinks may still be present, and that residue may affect the functionality of your keyboard in the future."			False
'Is keyboard powered on?'			'2 - Turn the laptop upside down over a towel.\nTurn the laptop upside down over a towel. Open the laptop as wide as you can, turn it face down, and set it on top of a towel or another absorbent material. By flipping the laptop over, you are allowing gravity to pull the moisture away from the motherboard and other electrical components.[13]\n- X\n- Research source'			None
