0####-####use####apple####software####update	0,0,1,0,0,0	0,0,0,0,0,0	None
1####-####connect####you####printer####to####you####mac####computer####.####connect####you####printer####to####you####mac####computer####.####-####you####can####connect####the####printer####with####either####a####usb####cable####or####wirelessly####if####applicable####.####-####for####wireless####printer####,####use####the####wireless####setup####wizard####with####the####wi####-####fi####name####and####password####.####-####you####can####also####use####wps####mode####-####push####button####or####pin####.####-####;	0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0	0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	True
2####-####click####on####the####apple####icon####on####the####left####top####corner####of####the####computer####.####click####on####the####apple####icon####on####the####left####top####corner####of####the####computer####.	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
3####-####go####to####system####preference####.####go####to####system####preference####.	0,0,1,0,0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	None
4####-####click####on####software####update####.####click####on####software####update####.####-####check####that####you####printer####name####be####on####the####list####for####software####update####.	0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0	None
5####-####click####on####the####update####button####to####update####the####printer####driver####and####software####.####click####on####the####update####button####to####update####the####printer####driver####and####software####.####this####will####complete####the####process####to####update####you####driver####.####-####if####the####printer####name####be####not####in####the####list####,####proceed####with####the####follow####method####.	0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0	None
0####-####use####keyboard####command	0,0,1,0,0	0,0,0,0,0	None
1####-####open####multiple####window####in####a####app####.####open####multiple####window####in####a####app####.####you####can####open####and####close####multiple####window####in####most####app####,####include####all####internet####browser####,####text####editor####,####productivity####app####,####media####player####,####image####viewer####,####and####file####manager####.####-####you####can####also####use####this####method####to####close####all####open####folder####if####you####have####multiple####window####open####in####finder####.	0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
2####-####press####and####hold####the####⌘####command####button####on####you####keyboard####.####press####and####hold####the####⌘####command####button####on####you####keyboard####.####-####on####some####keyboard####,####you####will####see####⌘####cmd####instead####of####command####.	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	True
3####-####press####tab####↹####while####hold####⌘####command####.####press####tab####↹####while####hold####⌘####command####.####this####button####be####in####the####upper-left####corner####of####you####keyboard####.####this####key####combination####will####let####you####scroll####through####app####icon####to####switch####between####app####currently####open####and####run####on####you####mac.	0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
4####-####make####sure####the####application####switcher####be####on####the####app####you####want####to####close####.####make####sure####the####application####switcher####be####on####the####app####you####want####to####close####.####scroll####through####app####in####the####switcher####until####you####be####on####the####correct####app####.	0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
5####-####press####⌥####option####+⌘####command####+####w####on####you####keyboard####.####press####⌥####option####+⌘####command####+####w####on####you####keyboard####.####press####the####three####button####at####the####same####time####to####close####all####the####open####window####in####this####app####.####all####open####window####will####close####.####the####app####will####keep####run####in####the####background####.####-####on####some####keyboard####,####you####will####have####alt####instead####of####option####.####in####this####case####,####look####for####the####⌥####sign####on####you####keyboard####.	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
0####-####enable####auto####unlock	0,0,1,0,0	0,0,0,0,0	None
1####-####enable####a####passcode####on####you####apple####watch####.####enable####a####passcode####on####you####apple####watch####.####you####will####need####to####have####a####passcode####enable####for####you####apple####watch####in####order####to####turn####on####auto####unlock####.####you####will####not####be####prompt####for####this####passcode####every####time####you####use####you####watch####to####unlock####you####computer####.####-####see####the####"####set####up####the####watch####section####of####use####you####apple####watch####for####detail####on####enable####a####passcode####for####you####watch####.	0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0	True
2####-####click####the####apple####menu####and####select####"####system####preference####.####"####click####the####apple####menu####and####select####"####system####preference####.####"####you####will####find####the####apple####menu####in####the####upper-left####corner####.	0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	None
